# term,courseCode,courseName,questionId,question,optionA,optionB,optionC,optionD,correctIndex(1-4)
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q1,Which of the following is a valid C data type,integer,int,number,real,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q2,Which operator is used to get the address of a variable,*,&,% ,#,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q3,Which operator performs modulus operation,/,% ,*,//,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q4,Which keyword is used to define a constant,constant,final,const,static,3
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q5,Which of the following is a loop structure,if,switch,for,goto,3
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q6,Which statement selects among multiple alternatives,if,switch,for,loop,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q7,Which operator represents logical AND,&,&&,|,||,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q8,Which operator is the ternary operator,?:,::,??,:,1
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q9,Which loop is best when the number of iterations is known,while,do while,for,goto,3
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q10,Which keyword skips the current iteration of a loop,break,stop,continue,skip,3
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q11,Which keyword exits a loop immediately,exit,break,stop,terminate,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q12,Which method passes a copy of variable values to functions,Call by value,Call by pointer,Call by address,Call by reference,1
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q13,Which structure stores multiple values of the same type,structure,union,array,pointer,3
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q14,Which algorithm repeatedly swaps adjacent elements,Selection sort,Bubble sort,Merge sort,Heap sort,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q15,Which search algorithm requires a sorted array,Linear search,Binary search,Sequential search,Random search,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q16,Which header file contains string functions,stdio.h,string.h,math.h,stdlib.h,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q17,Which function copies one string to another,strcmp(),strcpy(),strlen(),strcat(),2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q18,Which function compares two strings,strcmp(),stradd(),strjoin(),strlen(),1
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q19,Which function returns the length of a string,strlen(),size(),count(),length(),1
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q20,A matrix is an example of which array type,1D array,2D array,pointer,structure,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q21,Recursion refers to a function that,calls another function,calls itself,stops execution,repeats loop,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q22,Which operator performs bitwise OR,||,|,&,^,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q23,Which operator performs bitwise XOR,^,&,|,~,1
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q24,Which operator performs bitwise NOT,!,~,^,%,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q25,Which keyword defines a structure,struct,structure,record,class,1
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q26,Which data type allows different types in one variable group,array,union,int,pointer,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q27,Which keyword defines enumeration,enum,enumerator,constant,type,1
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q28,Which symbol declares a pointer,&,*,%,#,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q29,Which function allocates memory dynamically,malloc(),alloc(),mem(),new(),1
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q30,Which function releases allocated memory,delete(),remove(),free(),release(),3
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q31,Which file mode reads a file,r,w,a,rw,1
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q32,Which function reads formatted input,printf(),scanf(),read(),input(),2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q33,Which function writes formatted output,write(),printf(),print(),display(),2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q34,Which function opens a file,fileopen(),fopen(),openfile(),readfile(),2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q35,Which operator accesses pointer value,&,*,->,.,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q36,Which header file supports memory allocation,stdio.h,stdlib.h,string.h,math.h,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q37,Which operator accesses structure member via pointer,.,->,::,*,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q38,Which operator accesses structure member via variable,->,.,*,&,2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q39,What does sizeof return,value,address,memory size,type name,3
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q40,Which statement creates infinite loop,while(0),while(1),while(a),while(b),2
1-1,CSE 101,Structured Programming Language,1-1-CSE101-Q41,Which function concatenates strings,strcmp(),strcat(),strcpy(),strlen(),2
